filename,recommender,strategy,config,k,similarity,precision,recall,ndcg,epc,gini,aggregate_diversity
knn_item_5_exclude_seen_k10_cosine.csv,knn_item,exclude_seen,k10_cosine,10,cosine,0.07276688453159043,0.004859015253437841,0.07119101107314425,0.9625775984955076,0.5278432554990939,0.32113289760348585
knn_item_5_exclude_seen_k10_pearson.csv,knn_item,exclude_seen,k10_pearson,10,pearson,0.12505446623093683,0.01187913302613288,0.12799702109317512,0.9016719919969872,0.4638028857699197,0.3281045751633987
knn_item_5_exclude_seen_k1_cosine.csv,knn_item,exclude_seen,k1_cosine,1,cosine,0.06884531590413943,0.007026981405352502,0.06901937987096594,0.9054692644113141,0.5290741069841833,0.28845315904139435
knn_item_5_exclude_seen_k1_pearson.csv,knn_item,exclude_seen,k1_pearson,1,pearson,0.0840958605664488,0.007480788718242646,0.08174030072650405,0.889798238135834,0.5269256612302242,0.2797385620915033
knn_item_5_exclude_seen_k5_cosine.csv,knn_item,exclude_seen,k5_cosine,5,cosine,0.08017429193899782,0.0065870588865186135,0.07628033784105755,0.9449520258203433,0.4076266629583276,0.4095860566448802
knn_item_5_exclude_seen_k5_pearson.csv,knn_item,exclude_seen,k5_pearson,5,pearson,0.11328976034858387,0.012187728572003769,0.11783311276621486,0.8959853247296327,0.4186921336967018,0.36470588235294116
knn_item_5_exclude_seen_k100_cosine.csv,knn_item,exclude_seen,k100_cosine,100,cosine,0.0040339702760084925,0.00019238374136793787,0.003458364546447328,0.996429833863556,0.7404319583459711,0.07133757961783439
knn_item_5_exclude_seen_k100_pearson.csv,knn_item,exclude_seen,k100_pearson,100,pearson,0.062420382165605096,0.006203580219727156,0.06119103905966409,0.923713224947259,0.6788214797102368,0.1278131634819533
knn_item_5_exclude_seen_k25_cosine.csv,knn_item,exclude_seen,k25_cosine,25,cosine,0.02505307855626327,0.0014863856666498833,0.023260098600106614,0.9768392873626881,0.6884737218570116,0.15881104033970275
knn_item_5_exclude_seen_k25_pearson.csv,knn_item,exclude_seen,k25_pearson,25,pearson,0.06560509554140127,0.0064981579791239166,0.06347454856490917,0.9041123216549253,0.5935620329689453,0.16836518046709129
knn_item_5_exclude_seen_k50_cosine.csv,knn_item,exclude_seen,k50_cosine,50,cosine,0.013800424628450107,0.0007577567946199031,0.012525332664368437,0.9875036305057041,0.7348825006256408,0.11167728237791932
knn_item_5_exclude_seen_k50_pearson.csv,knn_item,exclude_seen,k50_pearson,50,pearson,0.07197452229299364,0.00683536018396746,0.07107088653007004,0.9099657100143418,0.6363643898675746,0.14140127388535031
