filename,recommender,strategy,config,k,similarity,precision,recall,ndcg,epc,gini,aggregate_diversity
knn_user_5_exclude_seen_k10_cosine.csv,knn_user,exclude_seen,k10_cosine,10,cosine,0.3546840958605665,0.06550946895527088,0.3843489958985783,0.7621524962052689,0.6340355586679116,0.09760348583877995
knn_user_5_exclude_seen_k10_pearson.csv,knn_user,exclude_seen,k10_pearson,10,pearson,0.34466230936819175,0.06317684492089705,0.3574238560001701,0.7259892292017549,0.673885821858409,0.08976034858387799
knn_user_5_exclude_seen_k1_cosine.csv,knn_user,exclude_seen,k1_cosine,1,cosine,0.3067538126361656,0.06092491204374455,0.3134930503352829,0.780147260978151,0.646261296335622,0.12069716775599129
knn_user_5_exclude_seen_k1_pearson.csv,knn_user,exclude_seen,k1_pearson,1,pearson,0.2570806100217865,0.04389228578274517,0.26438994507735697,0.7753329775411991,0.6143311546840957,0.13071895424836602
knn_user_5_exclude_seen_k5_cosine.csv,knn_user,exclude_seen,k5_cosine,5,cosine,0.3847494553376906,0.0682191730644799,0.4078959798262119,0.7608845824178616,0.6035615507038119,0.12287581699346405
knn_user_5_exclude_seen_k5_pearson.csv,knn_user,exclude_seen,k5_pearson,5,pearson,0.32941176470588235,0.05737395772320717,0.3436254097415794,0.7428334453847523,0.62020839963118,0.11633986928104575
knn_user_5_exclude_seen_k100_cosine.csv,knn_user,exclude_seen,k100_cosine,100,cosine,0.2579617834394905,0.05060729690672269,0.2726436607947211,0.6743304672038689,0.6867475756010788,0.031422505307855626
knn_user_5_exclude_seen_k100_pearson.csv,knn_user,exclude_seen,k100_pearson,100,pearson,0.22993630573248408,0.04396474825329642,0.2424349148423017,0.6350532361596117,0.7510733663599907,0.024840764331210193
knn_user_5_exclude_seen_k25_cosine.csv,knn_user,exclude_seen,k25_cosine,25,cosine,0.26305732484076433,0.053253337988765644,0.2747232423670619,0.7095795818107725,0.6823333085495717,0.05456475583864119
knn_user_5_exclude_seen_k25_pearson.csv,knn_user,exclude_seen,k25_pearson,25,pearson,0.22441613588110404,0.04349608045121477,0.2337942091550432,0.6742343291613475,0.738614129303526,0.04331210191082802
knn_user_5_exclude_seen_k50_cosine.csv,knn_user,exclude_seen,k50_cosine,50,cosine,0.26199575371549894,0.05284477381953095,0.27700571504992594,0.6918933340538058,0.6966640774688002,0.0435244161358811
knn_user_5_exclude_seen_k50_pearson.csv,knn_user,exclude_seen,k50_pearson,50,pearson,0.23312101910828026,0.045013707645500264,0.24285584972635227,0.6546993941276993,0.7438038490514349,0.032908704883227176
