filename,recommender,strategy,config,n_factors,learning_rate,hidden_dims,regularization,epochs,batch_size,precision,recall,ndcg,epc,gini,aggregate_diversity
mlp_5_exclude_seen_f512_lr0p01_hd512-256_reg0p01_ep150_bs2048.csv,mlp,exclude_seen,f512_lr0.01_hd512-256_reg0.01_ep150_bs2048,512,0.01,"(512, 256)",0.01,150,2048,0.1002178649237472,0.0105086389874201,0.1001408771202228,0.8800643198247838,0.6579718115221636,0.134640522875817
mlp_5_exclude_seen_f256_lr0p01_hd256-128-64_reg0p01_ep150_bs2048.csv,mlp,exclude_seen,f256_lr0.01_hd256-128-64_reg0.01_ep150_bs2048,256,0.01,"(256, 128, 64)",0.01,150,2048,0.0993464052287581,0.0106229527898191,0.0956933550103509,0.8856220702019467,0.6648259597201551,0.1320261437908496
mlp_5_exclude_seen_f256_lr0p01_hd256-128-64_reg0p1_ep200_bs4096.csv,mlp,exclude_seen,f256_lr0.01_hd256-128-64_reg0.1_ep200_bs4096,256,0.01,"(256, 128, 64)",0.1,200,4096,0.098474945533769,0.0125757055932074,0.1021171365390416,0.8883200835418414,0.6496624627941943,0.1237472766884531
mlp_5_exclude_seen_f256_lr0p005_hd512-256_reg0p1_ep200_bs2048.csv,mlp,exclude_seen,f256_lr0.005_hd512-256_reg0.1_ep200_bs2048,256,0.005,"(512, 256)",0.1,200,2048,0.0980392156862745,0.0116761124396635,0.0989325579491652,0.8775113957448184,0.6476791141084883,0.1368191721132897
mlp_5_exclude_seen_f512_lr0p005_hd512-256_reg0p01_ep150_bs2048.csv,mlp,exclude_seen,f512_lr0.005_hd512-256_reg0.01_ep150_bs2048,512,0.005,"(512, 256)",0.01,150,2048,0.0971677559912854,0.0098989331049761,0.0979026300363453,0.8858725108990222,0.6472773506565745,0.143355119825708
mlp_5_exclude_seen_f512_lr0p01_hd256-128-64_reg0p01_ep150_bs4096.csv,mlp,exclude_seen,f512_lr0.01_hd256-128-64_reg0.01_ep150_bs4096,512,0.01,"(256, 128, 64)",0.01,150,4096,0.0962962962962963,0.0104399512995396,0.0977082641774435,0.8754732150902071,0.6365679012345677,0.130718954248366
mlp_5_exclude_seen_f256_lr0p01_hd256-128-64_reg0p01_ep200_bs4096.csv,mlp,exclude_seen,f256_lr0.01_hd256-128-64_reg0.01_ep200_bs4096,256,0.01,"(256, 128, 64)",0.01,200,4096,0.0949891067538126,0.0097971999105005,0.0960561931548171,0.8796780312219149,0.6537929627443695,0.1302832244008714
mlp_5_exclude_seen_f256_lr0p005_hd512-256_reg0p01_ep200_bs2048.csv,mlp,exclude_seen,f256_lr0.005_hd512-256_reg0.01_ep200_bs2048,256,0.005,"(512, 256)",0.01,200,2048,0.0945533769063181,0.0117700610863696,0.0935806715630887,0.8827919054979125,0.6528006184552675,0.1350762527233115
mlp_5_exclude_seen_f512_lr0p005_hd512-256_reg0p1_ep150_bs2048.csv,mlp,exclude_seen,f512_lr0.005_hd512-256_reg0.1_ep150_bs2048,512,0.005,"(512, 256)",0.1,150,2048,0.0945533769063181,0.0104681684101429,0.0937273233971112,0.8769583006998015,0.6657517787476748,0.1311546840958605
mlp_5_exclude_seen_f256_lr0p005_hd256-128-64_reg0p1_ep150_bs4096.csv,mlp,exclude_seen,f256_lr0.005_hd256-128-64_reg0.1_ep150_bs4096,256,0.005,"(256, 128, 64)",0.1,150,4096,0.0941176470588235,0.0110986468449335,0.090459971240412,0.8910388899285413,0.6638059326294621,0.1132897603485838
mlp_5_exclude_seen_f512_lr0p005_hd256-128-64_reg0p1_ep200_bs2048.csv,mlp,exclude_seen,f512_lr0.005_hd256-128-64_reg0.1_ep200_bs2048,512,0.005,"(256, 128, 64)",0.1,200,2048,0.0915032679738562,0.012922209284301,0.0918726208386244,0.8775571404477899,0.6205898857859642,0.115032679738562
mlp_5_exclude_seen_f256_lr0p01_hd256-128-64_reg0p01_ep150_bs4096.csv,mlp,exclude_seen,f256_lr0.01_hd256-128-64_reg0.01_ep150_bs4096,256,0.01,"(256, 128, 64)",0.01,150,4096,0.0910675381263616,0.009931549008179,0.0959658506626165,0.8901350854940774,0.6550316596352401,0.1302832244008714
