filename,recommender,strategy,config,k,similarity,precision,recall,ndcg,epc,gini,aggregate_diversity
knn_item_5_no_filtering_k10_cosine.csv,knn_item,no_filtering,k10_cosine,10,cosine,0.05301204819277109,0.05332759609868043,0.07663284807723296,0.9956882005165306,0.18936793327154788,0.7831325301204819
knn_item_5_no_filtering_k10_pearson.csv,knn_item,no_filtering,k10_pearson,10,pearson,0.006024096385542169,0.00714524765729585,0.007384841044069184,0.9978275028731082,0.1789580339707455,0.7879518072289157
knn_item_5_no_filtering_k1_cosine.csv,knn_item,no_filtering,k1_cosine,1,cosine,0.06506024096385543,0.06458666747189258,0.09981282957941535,0.9936892215071935,0.34929485383394043,0.6216867469879518
knn_item_5_no_filtering_k1_pearson.csv,knn_item,no_filtering,k1_pearson,1,pearson,0.02168674698795181,0.021737576873911684,0.0299758317585242,0.9900118947926961,0.331828463278401,0.6289156626506024
knn_item_5_no_filtering_k5_cosine.csv,knn_item,no_filtering,k5_cosine,5,cosine,0.05542168674698795,0.05324512335054503,0.0813270823537919,0.9986722091874072,0.281567938420348,0.6939759036144578
knn_item_5_no_filtering_k5_pearson.csv,knn_item,no_filtering,k5_pearson,5,pearson,0.00963855421686747,0.010910307898259705,0.011159295633131902,0.9984989425453851,0.2524675430220038,0.7144578313253012
knn_item_5_no_filtering_k100_cosine.csv,knn_item,no_filtering,k100_cosine,100,cosine,0.03855421686746988,0.04497035762096003,0.06130246902195026,0.994571649151396,0.20112550515541794,0.7686746987951807
knn_item_5_no_filtering_k100_pearson.csv,knn_item,no_filtering,k100_pearson,100,pearson,0.0024096385542168677,0.0036813922356091033,0.004484049820950603,0.9978715110913284,0.18400370713623726,0.7831325301204819
knn_item_5_no_filtering_k25_cosine.csv,knn_item,no_filtering,k25_cosine,25,cosine,0.04096385542168674,0.04623254924459743,0.06297279087348669,0.9945462501225945,0.20182708857407672,0.7674698795180723
knn_item_5_no_filtering_k25_pearson.csv,knn_item,no_filtering,k25_pearson,25,pearson,0.0024096385542168677,0.0036813922356091033,0.004484049820950603,0.9978715110913284,0.18400370713623726,0.7831325301204819
knn_item_5_no_filtering_k50_cosine.csv,knn_item,no_filtering,k50_cosine,50,cosine,0.03855421686746988,0.04497035762096003,0.06130246902195026,0.9945668711162748,0.20112550515541794,0.7686746987951807
knn_item_5_no_filtering_k50_pearson.csv,knn_item,no_filtering,k50_pearson,50,pearson,0.0024096385542168677,0.0036813922356091033,0.004484049820950603,0.9978715110913284,0.18400370713623726,0.7831325301204819
