filename,recommender,strategy,config,k,similarity,precision,recall,ndcg,epc,gini,aggregate_diversity
knn_user_5_no_filtering_k10_cosine.csv,knn_user,no_filtering,k10_cosine,10,cosine,0.12048192771084337,0.15110510966170446,0.18869577502087925,0.8940334915114435,0.6019924219847588,0.3409638554216867
knn_user_5_no_filtering_k10_pearson.csv,knn_user,no_filtering,k10_pearson,10,pearson,0.1108433734939759,0.1418349463014967,0.18329685804621954,0.8979441875202752,0.6399200039022488,0.29759036144578316
knn_user_5_no_filtering_k1_cosine.csv,knn_user,no_filtering,k1_cosine,1,cosine,0.08433734939759036,0.12143008122716428,0.11894623136768148,0.9210002187837133,0.5232884479092843,0.40963855421686746
knn_user_5_no_filtering_k1_pearson.csv,knn_user,no_filtering,k1_pearson,1,pearson,0.08072289156626507,0.1144019687773651,0.11361465266466368,0.9284994706440038,0.5516206762534008,0.37349397590361444
knn_user_5_no_filtering_k5_cosine.csv,knn_user,no_filtering,k5_cosine,5,cosine,0.12771084337349395,0.15989025022395345,0.2064515185244611,0.906927899450023,0.5441576958722465,0.4072289156626506
knn_user_5_no_filtering_k5_pearson.csv,knn_user,no_filtering,k5_pearson,5,pearson,0.11807228915662651,0.14670593401173618,0.19062338064461537,0.9100844203363234,0.5965324713488098,0.3457831325301205
knn_user_5_no_filtering_k100_cosine.csv,knn_user,no_filtering,k100_cosine,100,cosine,0.09036144578313253,0.1182190541615082,0.14156862328014327,0.8265419850975597,0.7818104275509117,0.13614457831325302
knn_user_5_no_filtering_k100_pearson.csv,knn_user,no_filtering,k100_pearson,100,pearson,0.0891566265060241,0.12117253475053096,0.1454623409118934,0.8652528712218945,0.7256391419335879,0.19759036144578312
knn_user_5_no_filtering_k25_cosine.csv,knn_user,no_filtering,k25_cosine,25,cosine,0.10361445783132532,0.13432426447645218,0.16968292981002148,0.8644074104809972,0.6874420759962929,0.25060240963855424
knn_user_5_no_filtering_k25_pearson.csv,knn_user,no_filtering,k25_pearson,25,pearson,0.10361445783132532,0.13408282251814274,0.1647465076638918,0.8839800026656406,0.6763609995537707,0.26024096385542167
knn_user_5_no_filtering_k50_cosine.csv,knn_user,no_filtering,k50_cosine,50,cosine,0.09518072289156627,0.12620098187235154,0.15209950364293573,0.8408710609501249,0.7503093454900684,0.1783132530120482
knn_user_5_no_filtering_k50_pearson.csv,knn_user,no_filtering,k50_pearson,50,pearson,0.09759036144578315,0.1291472909180582,0.15614865838099118,0.8775326729585846,0.6967315415508186,0.23493975903614459
