filename,recommender,strategy,config,n_factors,learning_rate,regularization,epochs,batch_size,n_layers,precision,recall,ndcg,epc,gini,aggregate_diversity
gnn_5_no_filtering_f256_lr0p005_reg0p1_ep50_bs2048_nl2.csv,gnn,no_filtering,f256_lr0.005_reg0.1_ep50_bs2048_nl2,256,0.005,0.1,50,2048,2,0.09720670391061452,0.020433521060121942,0.10108671951878397,0.664175311172592,0.49849162011173176,0.004469273743016759
gnn_5_no_filtering_f256_lr0p005_reg0p1_ep50_bs2048_nl3.csv,gnn,no_filtering,f256_lr0.005_reg0.1_ep50_bs2048_nl3,256,0.005,0.1,50,2048,3,0.10167597765363129,0.022886312008311215,0.10437009545649979,0.6444939187307832,0.5642943891182901,0.005139664804469274
gnn_5_no_filtering_f256_lr0p005_reg0p1_ep50_bs4096_nl2.csv,gnn,no_filtering,f256_lr0.005_reg0.1_ep50_bs4096_nl2,256,0.005,0.1,50,4096,2,0.08893854748603351,0.017154609679675362,0.08802679488573059,0.7129377891787176,0.8025903545775852,0.03284916201117318
gnn_5_no_filtering_f256_lr0p005_reg0p1_ep50_bs4096_nl3.csv,gnn,no_filtering,f256_lr0.005_reg0.1_ep50_bs4096_nl3,256,0.005,0.1,50,4096,3,0.10212290502793296,0.02291170247407262,0.1039946179974688,0.6511201028454298,0.6063447725458897,0.006256983240223463
gnn_5_no_filtering_f256_lr0p01_reg0p01_ep100_bs2048_nl2.csv,gnn,no_filtering,f256_lr0.01_reg0.01_ep100_bs2048_nl2,256,0.01,0.01,100,2048,2,0.0735195530726257,0.015847761234741083,0.0741797057061261,0.732695723265224,0.7993947858472998,0.016089385474860336
gnn_5_no_filtering_f256_lr0p01_reg0p01_ep100_bs2048_nl3.csv,gnn,no_filtering,f256_lr0.01_reg0.01_ep100_bs2048_nl3,256,0.01,0.01,100,2048,3,0.07441340782122904,0.016117439282254675,0.07511480036187156,0.742191389657399,0.7319988637439636,0.013184357541899441
gnn_5_no_filtering_f256_lr0p01_reg0p1_ep100_bs2048_nl2.csv,gnn,no_filtering,f256_lr0.01_reg0.1_ep100_bs2048_nl2,256,0.01,0.1,100,2048,2,0.10502793296089385,0.02235575904660089,0.1075229299222213,0.6056342233570502,0.3746182495344508,0.002681564245810056
gnn_5_no_filtering_f256_lr0p01_reg0p1_ep100_bs2048_nl3.csv,gnn,no_filtering,f256_lr0.01_reg0.1_ep100_bs2048_nl3,256,0.01,0.1,100,2048,3,0.1070391061452514,0.022523250238503864,0.10838070761670698,0.6026327482123497,0.39472625698324015,0.0033519553072625698
gnn_5_no_filtering_f256_lr0p1_reg0p01_ep100_bs2048_nl2.csv,gnn,no_filtering,f256_lr0.1_reg0.01_ep100_bs2048_nl2,256,0.1,0.01,100,2048,2,0.10793296089385476,0.023431224166079026,0.10813624185251018,0.5656591053158527,0.47987811071609965,0.002458100558659218
gnn_5_no_filtering_f256_lr0p1_reg0p01_ep100_bs2048_nl3.csv,gnn,no_filtering,f256_lr0.1_reg0.01_ep100_bs2048_nl3,256,0.1,0.01,100,2048,3,0.09899441340782122,0.02215081789387741,0.10332000464694735,0.5692186472508397,0.26611332801276943,0.0015642458100558658
gnn_5_no_filtering_f256_lr0p1_reg0p01_ep100_bs4096_nl2.csv,gnn,no_filtering,f256_lr0.1_reg0.01_ep100_bs4096_nl2,256,0.1,0.01,100,4096,2,0.016536312849162012,0.0061701540427253725,0.017967413944556178,0.89991860044906,0.5614722313506408,0.003798882681564246
gnn_5_no_filtering_f256_lr0p1_reg0p01_ep100_bs4096_nl3.csv,gnn,no_filtering,f256_lr0.1_reg0.01_ep100_bs4096_nl3,256,0.1,0.01,100,4096,3,0.09452513966480448,0.020467711043886852,0.0978357671907664,0.5720670391061452,0.26949720670391075,0.0015642458100558658
gnn_5_no_filtering_f256_lr0p1_reg0p01_ep50_bs2048_nl2.csv,gnn,no_filtering,f256_lr0.1_reg0.01_ep50_bs2048_nl2,256,0.1,0.01,50,2048,2,0.10368715083798882,0.021735883009576493,0.10474233691731319,0.5990800784374131,0.8455614525139665,0.017877094972067038
gnn_5_no_filtering_f256_lr0p1_reg0p01_ep50_bs2048_nl3.csv,gnn,no_filtering,f256_lr0.1_reg0.01_ep50_bs2048_nl3,256,0.1,0.01,50,2048,3,0.11016759776536314,0.022225684156633767,0.11235712200423896,0.5825539553428081,0.6096983240223464,0.00558659217877095
